,State,DC Fast Charge,Level 1,Level 2,EV Network
535,FL,,,1.0,Non-Networked
536,FL,1.0,,1.0,Non-Networked
537,GA,1.0,,2.0,Non-Networked
538,GA,2.0,,1.0,Non-Networked
539,GA,1.0,,1.0,Non-Networked
540,GA,1.0,,1.0,Non-Networked
541,GA,1.0,,1.0,Non-Networked
542,GA,1.0,,1.0,Non-Networked
543,GA,,,1.0,Non-Networked
544,GA,1.0,,2.0,Non-Networked
545,GA,1.0,,1.0,Non-Networked
546,GA,,,1.0,Non-Networked
547,HI,,,2.0,Non-Networked
548,HI,,,1.0,Non-Networked
549,HI,1.0,,1.0,Non-Networked
550,HI,,,2.0,Non-Networked
551,MD,,,4.0,SemaCharge Network
552,MD,,,4.0,SemaCharge Network
553,MD,,1.0,2.0,Non-Networked
554,MD,1.0,,2.0,Non-Networked
555,MD,,,2.0,Non-Networked
556,MD,1.0,,1.0,Non-Networked
557,MD,,,1.0,Non-Networked
558,MD,,5.0,5.0,ChargePoint Network
559,MD,1.0,,1.0,Non-Networked
560,MD,1.0,,1.0,Non-Networked
561,MD,,,1.0,SemaCharge Network
562,MD,1.0,,1.0,Non-Networked
563,MD,,,1.0,SemaCharge Network
564,MD,,1.0,4.0,ChargePoint Network
565,MN,,1.0,1.0,ChargePoint Network
566,MN,,2.0,2.0,ChargePoint Network
567,MN,,4.0,4.0,Non-Networked
568,MN,,,1.0,Non-Networked
569,MN,,2.0,2.0,ChargePoint Network
570,MN,,2.0,4.0,ChargePoint Network
571,MN,,1.0,1.0,ChargePoint Network
572,MN,,,2.0,Non-Networked
573,NC,1.0,,1.0,Non-Networked
574,NC,1.0,,1.0,Non-Networked
575,NC,,,1.0,Non-Networked
576,NC,,,1.0,Non-Networked
577,NC,,2.0,12.0,Non-Networked
578,CA,,,2.0,Non-Networked
579,SC,,,2.0,Non-Networked
580,VA,,,1.0,Non-Networked
581,NJ,,2.0,2.0,ChargePoint Network
582,NV,,,4.0,ChargePoint Network
583,TX,,,4.0,ChargePoint Network
584,TX,,,6.0,ChargePoint Network
585,VA,,,1.0,Non-Networked
586,VA,1.0,,2.0,Non-Networked
587,WA,,,6.0,ChargePoint Network
588,WA,,,6.0,ChargePoint Network
589,WI,,,2.0,ChargePoint Network
590,WI,,,2.0,ChargePoint Network
591,CA,,,11.0,ChargePoint Network
592,CA,,1.0,9.0,ChargePoint Network
593,CA,,1.0,9.0,ChargePoint Network
594,CA,,1.0,9.0,ChargePoint Network
595,CA,,,2.0,ChargePoint Network
596,CA,,1.0,1.0,ChargePoint Network
597,CA,,1.0,1.0,Non-Networked
598,FL,,,1.0,ChargePoint Network
599,FL,,,2.0,Non-Networked
600,MI,,,2.0,ChargePoint Network
601,MI,,1.0,1.0,ChargePoint Network
602,MI,,1.0,1.0,ChargePoint Network
603,MI,,1.0,1.0,ChargePoint Network
604,MI,,2.0,2.0,ChargePoint Network
605,MI,,1.0,1.0,ChargePoint Network
606,MN,,1.0,1.0,Non-Networked
607,MO,,1.0,1.0,ChargePoint Network
608,SC,,,1.0,Non-Networked
609,VA,,,1.0,Non-Networked
610,SC,,,2.0,Non-Networked
611,SC,,,1.0,Non-Networked
612,CT,,,1.0,Non-Networked
613,FL,,,2.0,Non-Networked
614,MI,,,2.0,Non-Networked
615,MI,,,1.0,Non-Networked
616,MI,,,24.0,Non-Networked
617,MI,,,2.0,Non-Networked
618,MI,,,1.0,Non-Networked
619,MI,,,1.0,Non-Networked
620,MI,,,1.0,Non-Networked
621,OH,,,2.0,Non-Networked
622,MI,,,2.0,Non-Networked
623,MD,,4.0,2.0,Non-Networked
624,PA,,,2.0,Non-Networked
625,VA,,,3.0,Non-Networked
626,MI,,,4.0,Non-Networked
627,NC,,2.0,2.0,Non-Networked
628,NC,,,2.0,Non-Networked
629,NC,,,1.0,Non-Networked
630,NC,,1.0,1.0,Non-Networked
631,OR,,2.0,3.0,Non-Networked
632,WA,,,8.0,Non-Networked
633,OR,,1.0,1.0,Non-Networked
634,OR,,1.0,1.0,Non-Networked
635,GA,,6.0,6.0,Non-Networked
636,HI,,,1.0,Non-Networked
637,IL,,,2.0,Non-Networked
638,IL,,,1.0,ChargePoint Network
639,NH,,2.0,2.0,ChargePoint Network
640,NC,,,2.0,Non-Networked
641,OR,,1.0,1.0,ChargePoint Network
642,OR,,1.0,1.0,ChargePoint Network
643,SC,,,1.0,ChargePoint Network
644,AR,,,1.0,Non-Networked
645,FL,,,2.0,ChargePoint Network
646,FL,,,2.0,ChargePoint Network
647,FL,,,2.0,ChargePoint Network
648,FL,,,2.0,ChargePoint Network
649,FL,,,2.0,ChargePoint Network
650,FL,,1.0,1.0,ChargePoint Network
651,FL,,1.0,1.0,ChargePoint Network
652,FL,,1.0,1.0,ChargePoint Network
653,IA,,,1.0,Non-Networked
654,IA,,,1.0,Non-Networked
655,IA,,,1.0,Non-Networked
656,KS,,1.0,1.0,ChargePoint Network
657,MD,,,2.0,ChargePoint Network
