,State,DC Fast Charge,Level 1,Level 2,EV Network
752,NY,,,1.0,ChargePoint Network
753,NY,,,2.0,ChargePoint Network
754,TX,,,3.0,
755,PA,,,2.0,
756,HI,,,1.0,
757,HI,,,1.0,
758,HI,,,3.0,OpConnect
759,HI,,,2.0,
760,MD,,,2.0,
761,UT,,,4.0,
762,RI,,,1.0,
763,GA,,,1.0,
764,WA,,,2.0,ChargePoint Network
765,WA,,,4.0,
766,FL,,,2.0,ChargePoint Network
767,FL,,1.0,1.0,
768,FL,,,2.0,ChargePoint Network
769,FL,,1.0,1.0,ChargePoint Network
770,FL,,,2.0,ChargePoint Network
771,FL,,,2.0,ChargePoint Network
772,FL,,,4.0,ChargePoint Network
773,FL,,1.0,1.0,ChargePoint Network
774,FL,,,2.0,ChargePoint Network
775,IL,,,2.0,ChargePoint Network
776,MA,,,4.0,ChargePoint Network
777,MI,,,2.0,ChargePoint Network
778,MI,,,2.0,ChargePoint Network
779,MA,,,4.0,ChargePoint Network
780,MI,,3.0,3.0,ChargePoint Network
781,MI,,1.0,1.0,ChargePoint Network
782,NV,,2.0,5.0,ChargePoint Network
783,NY,,1.0,1.0,ChargePoint Network
784,TX,,,4.0,ChargePoint Network
785,TX,,,2.0,ChargePoint Network
786,TX,,2.0,2.0,ChargePoint Network
787,TX,,,2.0,
788,TX,,2.0,2.0,ChargePoint Network
789,WA,,,2.0,ChargePoint Network
790,WA,,,2.0,ChargePoint Network
791,WA,,,2.0,ChargePoint Network
792,WA,,,4.0,ChargePoint Network
793,WA,,2.0,2.0,ChargePoint Network
794,WA,,,2.0,ChargePoint Network
795,WA,,,4.0,ChargePoint Network
796,WA,,,8.0,ChargePoint Network
797,WI,,,2.0,ChargePoint Network
798,CA,,,1.0,ChargePoint Network
799,CA,,,8.0,ChargePoint Network
800,CA,,,6.0,ChargePoint Network
801,CA,,6.0,6.0,ChargePoint Network
802,CA,,,1.0,ChargePoint Network
803,CA,,,1.0,ChargePoint Network
804,CA,,,9.0,ChargePoint Network
805,CA,,,1.0,ChargePoint Network
806,FL,,,2.0,ChargePoint Network
807,FL,,1.0,1.0,
808,FL,,,2.0,ChargePoint Network
809,CA,,2.0,2.0,ChargePoint Network
810,CA,,2.0,2.0,ChargePoint Network
811,CA,,2.0,2.0,ChargePoint Network
812,CA,,,1.0,ChargePoint Network
813,HI,,,2.0,
814,HI,,,2.0,
815,IA,,1.0,,
816,IA,,1.0,,
817,IA,,1.0,,
818,MN,,1.0,,
819,MN,,1.0,,
820,MN,,1.0,,
821,MN,,1.0,,
822,MN,,1.0,,
823,MN,,1.0,,
824,PA,,,2.0,
825,NC,,,2.0,
826,NC,,,1.0,
827,NC,,,2.0,
828,NC,,,2.0,
829,NC,,,2.0,
830,NC,,,2.0,
831,NC,,1.0,1.0,
832,PA,,,2.0,
833,WI,,1.0,,
834,WI,,1.0,,
835,WI,,1.0,,
836,WI,,1.0,,
837,WI,,1.0,,
838,WI,,1.0,,
839,WI,,1.0,,
840,WI,,1.0,,
841,WI,,1.0,,
842,WI,,1.0,,
843,WI,,1.0,,
844,WI,,1.0,,
845,WI,,1.0,,
846,WI,,1.0,,
847,WI,,1.0,,
848,WI,,1.0,,
849,CO,,1.0,1.0,
850,IL,,,1.0,
851,IL,,1.0,2.0,
852,LA,,,1.0,
853,IL,,,1.0,
854,CO,,,3.0,
855,IN,,,6.0,ChargePoint Network
856,OH,,,8.0,
857,WI,,,2.0,ChargePoint Network
858,WA,,2.0,2.0,ChargePoint Network
859,CA,,,1.0,ChargePoint Network
860,CA,,,35.0,ChargePoint Network
861,CA,,,10.0,ChargePoint Network
862,CA,,,4.0,ChargePoint Network
863,CA,,,2.0,ChargePoint Network
864,CA,,2.0,8.0,ChargePoint Network
865,FL,,,2.0,ChargePoint Network
866,FL,,,2.0,ChargePoint Network
867,FL,,,2.0,ChargePoint Network
868,HI,,,2.0,
869,IL,,,2.0,ChargePoint Network
870,IL,,,1.0,
871,MA,,,5.0,ChargePoint Network
872,MD,,,1.0,SemaCharge Network
873,MI,,,2.0,ChargePoint Network
874,MI,,,2.0,ChargePoint Network
875,MI,,2.0,2.0,ChargePoint Network
876,MI,,,9.0,
877,MI,,,2.0,ChargePoint Network
878,MI,,2.0,2.0,ChargePoint Network
879,TN,,,1.0,
880,NJ,,,2.0,
881,CA,,,1.0,
882,NC,,,6.0,
883,FL,,,1.0,ChargePoint Network
884,OR,,,1.0,SemaCharge Network
885,OR,,,1.0,SemaCharge Network
886,OR,,,1.0,SemaCharge Network
887,CA,,,2.0,SemaCharge Network
888,CA,,,1.0,SemaCharge Network
889,MD,,,1.0,SemaCharge Network
890,MD,,,1.0,SemaCharge Network
